"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"50067332","LAKAY VENUS RESTAURANT","Brooklyn","637","ROGERS AVENUE","11226","7182874949","Caribbean","2017-12-11T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","34",,,"2022-03-21T06:00:38.000","Pre-permit (Operational) / Initial Inspection","40.655909731087","-73.953024598008","309","40","082000","3116052","3050570011","BK60"
"50003433","SUSHI KATSUEI","Brooklyn","210","7 AVENUE","11215","7187885338","Japanese","2020-01-23T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","3","A","2020-01-23T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.670645814668","-73.97845371798","306","39","015500","3021019","3009760044","BK37"
"40395906","ROSA'S PIZZA & PASTA","Queens","7559","METROPOLITAN AVENUE","11379","7188944707","Pizza","2022-01-04T00:00:00.000","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","23",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.713124184437","-73.875447921726","405","30","065703","4071765","4030660002","QN21"
"50088423","HANOI SOUP SHOP","Manhattan","115","SAINT MARKS PLACE","10009","4438221147","Asian/Asian Fusion","2019-09-17T00:00:00.000","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","38",,,"2022-03-21T06:00:38.000","Pre-permit (Operational) / Initial Inspection","40.727285163334","-73.984550795264","103","02","003200","1005884","1004360039","MN22"
"50047747","KARAM RESTAURANT","Brooklyn","8519","4 AVENUE","11209","7187455227","Middle Eastern","2019-02-04T00:00:00.000","Violations were cited in the following area(s).","06B","Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","Critical","12","A","2019-02-04T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.623349075152","-74.028112359747","310","43","013800","3153139","3060350001","BK31"
"50056677","STARBUCKS COFFEE COMPANY","Manhattan","969","1 AVENUE","10022","2126159700","Coffee/Tea","2019-06-06T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","3","A","2019-06-06T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.755944318574","-73.964655779103","106","04","009800","1039837","1013460025","MN19"
"41537509","SPRITZENHAUS","Brooklyn","63","GUERNSEY STREET","11222","3618773019","American","2018-07-11T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","38","C","2018-07-11T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Re-inspection","40.723650639043","-73.952760200654","301","33","056900","3065960","3026430029","BK76"
"50105315","CAFE GRUMPY","Manhattan","435","WEST   31 STREET","10001","9179033437","Other","2021-11-01T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","15","B","2021-11-01T00:00:00.000","2022-03-21T06:00:38.000","Pre-permit (Operational) / Re-inspection","40.751909467483","-73.998686222038","104","03","010300","1089664","1007297502","MN13"
"50072452","TAVOLINO","Manhattan","496","9 AVENUE","10018","2122731181","Italian","2019-06-24T00:00:00.000","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","19",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.755697117079","-73.994607427707","104","03","011100","1013631","1007610066","MN13"
"50105346","TAQUERIA LA IGUANA","Brooklyn","146","KNICKERBOCKER AVENUE","11237","3473317789","Mexican","2021-08-18T00:00:00.000","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical","12","A","2021-08-18T00:00:00.000","2022-03-21T06:00:38.000","Pre-permit (Operational) / Initial Inspection","40.704419042069","-73.928241109179","304","34","042700","3071972","3031580027","BK77"
"50012082","MADAME SOU SOU CAFE","Queens","3105","33RD ST","11106","7187106577","French","2017-11-21T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","8","A","2017-11-21T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.763142115699","-73.922214054944","401","22","006100","4008898","4006230038","QN70"
"50067994","EL DOMINICAN VALLE RESTAURANT","Manhattan","1601","SAINT NICHOLAS AVENUE","10040","6468690092","Spanish","2019-04-17T00:00:00.000","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","32",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.855002547855","-73.92958181661","112","10","027900","1064035","1021690053","MN35"
"50056800","RULAY LOUNGE BAR & RESTAURANT","Bronx","2959","WEBSTER AVENUE","10458","9292659357","Spanish","2017-06-15T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical","43",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.867612345474","-73.883053893875","207","11","041500","2016446","2032800061","BX05"
"41475367","TOMMY PIZZERIA","Queens","915","CROSS BAY BOULEVARD","11693","7189456054","Pizza","2017-01-26T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","20",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.606280505745","-73.819560091374","414","32","107201","4315080","4153140010","QN10"
"50056565","JOY GARDEN","Bronx","687","MORRIS PARK AVENUE","10462","7185181242","Chinese","2019-05-25T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical","15",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.845172421056","-73.866366221564","211","15","023600","2098266","2040490002","BX37"
"40839319","MAIMONIDES PARK STAND #140 & POPCORN STAND","Brooklyn","1904","SURF AVENUE","11224","7182667741","American","2019-08-06T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","7","A","2019-08-06T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Re-inspection","40.575062620406","-73.985878427577","313","47","035200","3189656","3070730101","BK21"
"50007210","BONJOUR CREPES & WINE","Manhattan","1442","LEXINGTON AVENUE","10128","2125344300","French","2019-09-25T00:00:00.000","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","61",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.784433033207","-73.951987477605","108","04","015801","1048411","1015220158","MN40"
"40367339","COCKTAIL ROOM (NYAC)","Manhattan","180","CENTRAL PARK SOUTH","10019","2127677000","American","2019-11-08T00:00:00.000","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical","7","A","2019-11-08T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Re-inspection","40.766718222992","-73.978736594767","105","04","013700","1023750","1010110001","MN17"
"50075833","DOMINO'S","Staten Island","25","VICTORY BOULEVARD","10301","7182734848","Pizza","2020-02-26T00:00:00.000","Violations were cited in the following area(s).","18G","Manufacture of frozen dessert not authorized on Food Service Establishment permit. Milk or milk product undated, improperly dated or expired.","Not Critical",,,,"2022-03-21T06:00:38.000","Administrative Miscellaneous / Initial Inspection","40.63777026831","-74.076140355146","501","49","000300","5000058","5000060146","SI22"
"41002789","SUNSET RIDGE DELI","Brooklyn","5802","5 AVENUE","11220","7184394494","Sandwiches","2021-11-15T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","22",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.640531128259","-74.015083131073","307","38","007400","3016005","3008550037","BK32"
"41002789","SUNSET RIDGE DELI","Brooklyn","5802","5 AVENUE","11220","7184394494","Sandwiches","2021-11-15T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","22",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.640531128259","-74.015083131073","307","38","007400","3016005","3008550037","BK32"
"50016335","THE EDGE","Manhattan","101","EDGECOMBE AVENUE","10030","2129399688","Coffee/Tea","2017-07-07T00:00:00.000","Violations were cited in the following area(s).","04J","Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","Critical","12","A","2017-07-07T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Re-inspection","40.819832098774","-73.945928164582","110","09","022102","1060907","1020480021","MN03"
"41236763","BOBBY VAN'S GRILL","Manhattan","135","WEST   50 STREET","10020","2129575050","Steakhouse","2022-02-14T00:00:00.000","Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical","29",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.760367337647","-73.981532569014","105","04","013100","1022708","1010030005","MN17"
"50092539","NEW DAY SEAFOOD","Brooklyn","6202","18 AVENUE","11204","7182368118","Chinese","2019-07-11T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","26","B","2019-07-11T00:00:00.000","2022-03-21T06:00:38.000","Pre-permit (Operational) / Re-inspection","40.62077734264","-73.9885199098","311","38","024800","3132762","3055320039","BK28"
"50092539","NEW DAY SEAFOOD","Brooklyn","6202","18 AVENUE","11204","7182368118","Chinese","2019-07-11T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","26","B","2019-07-11T00:00:00.000","2022-03-21T06:00:38.000","Pre-permit (Operational) / Re-inspection","40.62077734264","-73.9885199098","311","38","024800","3132762","3055320039","BK28"
"50075060","BOQUERIA","Manhattan","260","WEST   40 STREET","10018","2124779400","Tapas","2019-06-11T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","13","A","2019-06-11T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Re-inspection","40.755430525023","-73.989536141702","105","03","011300","1090450","1007890069","MN17"
"50002933","SUBWAY","Manhattan","367","WEST   34 STREET","10001","2125649191","Sandwiches","2019-02-01T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","8","A","2019-02-01T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Re-inspection","40.752935916004","-73.995224848542","104","03","011100","1013556","1007580005","MN13"
"41539957","TERRACE COFFEE SHOP","Brooklyn","598","19 STREET","11218","7188541911","Coffee/Tea","2018-07-24T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","9","A","2018-07-24T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.654676861933","-73.979363499205","307","39","150200","3017329","3008900037","BK40"
"50018547","MANDEVILLES BISTRO","Brooklyn","944","FLATBUSH AVENUE","11226","3474350092","Caribbean","2017-03-22T00:00:00.000","Violations were cited in the following area(s).","08C","Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.","Not Critical","17",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.648410271854","-73.958255205614","314","40","051002","3117169","3051020044","BK42"
"50037193","THE JUICE SHOP","Manhattan","7","PENN PLZ","10001","9175878888","Juice, Smoothies, Fruit Salads","2019-02-08T00:00:00.000","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical","10","A","2019-02-08T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Re-inspection","40.749683286057","-73.993431330544","105","03","010100","1014343","1007800036","MN17"
"50088876","WOKS CHINESE CUISINE","Queens","7921","37TH AVE","11372","7188980663","Chinese","2019-04-10T00:00:00.000","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","18",,,"2022-03-21T06:00:38.000","Pre-permit (Operational) / Initial Inspection","40.749482189494","-73.886827911251","403","25","028500","4449490","4012790035","QN28"
"40399329","ARTE RESTAURANT","Manhattan","21","EAST    9 STREET","10003","2124730077","Italian","2019-09-17T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical","22",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.732347429966","-73.994724787541","102","02","005900","1009240","1005670024","MN23"
"41680332","TOOKER ALLEY","Brooklyn","793","WASHINGTON AVENUE","11238","3479554743","American","2019-01-12T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","13","A","2019-01-12T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.672889776166","-73.962803739168","308","35","021500","3029547","3011770003","BK64"
"41383250","OSAKA JAPANESE FUSION","Queens","2524","BROADWAY","11106","7187772662","Japanese","2017-06-28T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical","12",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.76329423995","-73.928209921765","401","22","005300","4007160","4005800026","QN70"
"41168216","BENTO NOUVEAU","Manhattan","32","BROADWAY","10004","2127470994","Japanese","2019-06-05T00:00:00.000","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","21",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.706038204921","-74.013096243331","101","01","000900","1078979","1000220017","MN25"
"50106606","AM THAI BISTRO","Brooklyn","1003","CHURCH AVENUE","11218","7182878888","Other","2021-10-25T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","45",,,"2022-03-21T06:00:38.000","Pre-permit (Operational) / Initial Inspection","40.646662821648","-73.970162482425","314","40","050600","3116332","3050710044","BK42"
"50106606","AM THAI BISTRO","Brooklyn","1003","CHURCH AVENUE","11218","7182878888","Other","2021-10-25T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","45",,,"2022-03-21T06:00:38.000","Pre-permit (Operational) / Initial Inspection","40.646662821648","-73.970162482425","314","40","050600","3116332","3050710044","BK42"
"50007119","FRANK AND JOE'S DELI","Bronx","3639","EAST TREMONT AVENUE","10465","7188282858","Sandwiches","2019-04-30T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical","21","B","2019-04-30T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Re-inspection","40.82822130941","-73.823909941754","210","13","016200","2076662","2054270005","BX52"
"50077566","JANE FAST FOOD","Queens","8622","BROADWAY","11373","6463066186","Chinese","2019-01-22T00:00:00.000","Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.","03E","Potable water supply inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system observed.","Critical","63",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.738040379566","-73.877234298614","404","25","047300","4038767","4015490020","QN29"
"50076081","MUSES 35 BAR & KARAOKE","Manhattan","248","WEST   35 STREET","10001","6466698050","Bottled Beverages","2020-01-14T00:00:00.000","Violations were cited in the following area(s).","10I","Single service item reused, improperly stored, dispensed; not used when required.","Not Critical","13","A","2020-01-14T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.752233044847","-73.991539806142","105","03","010900","1014416","1007840068","MN17"
"50076218","DUNKIN","Queens","3402","UNION ST","11354","7183217511","Donuts","2018-06-04T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","5","A","2018-06-04T00:00:00.000","2022-03-21T06:00:38.000","Pre-permit (Operational) / Initial Inspection","40.766752363361","-73.827408819489","407","20","088901","4112112","4049570038","QN22"
"50076218","DUNKIN","Queens","3402","UNION ST","11354","7183217511","Donuts","2018-06-04T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","5","A","2018-06-04T00:00:00.000","2022-03-21T06:00:38.000","Pre-permit (Operational) / Initial Inspection","40.766752363361","-73.827408819489","407","20","088901","4112112","4049570038","QN22"
"41480756","STAN'S SPORTS BAR","Bronx","836","RIVER AVENUE","10451","7189935548","American","2019-05-18T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","12","A","2019-05-18T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.826891734326","-73.926449987063","204","08","006300","2002979","2024830032","BX63"
"50043932","VITTLES","Brooklyn","94","FRANKLIN STREET","11222","7183830367","Coffee/Tea","2018-10-30T00:00:00.000","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical","12","A","2018-10-30T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.727854637821","-73.957249135064","301","33","056100","3064942","3025690001","BK76"
"40607341","STEINWAY BILLIARD","Queens","3525","STEINWAY STREET","11101","7184722124","American","2017-09-26T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","12","A","2017-09-26T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.754630817504","-73.922512786594","401","26","015700","4010880","4006690013","QN70"
"50069682","COOK EATERY","Manhattan","1412","BROADWAY","10018","2129977601","American","2020-02-13T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","9",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.753703816993","-73.98704594334","105","04","011300","1080611","1008150014","MN17"
"50069682","COOK EATERY","Manhattan","1412","BROADWAY","10018","2129977601","American","2020-02-13T00:00:00.000","Violations were cited in the following area(s).","10F","Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical","9",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.753703816993","-73.98704594334","105","04","011300","1080611","1008150014","MN17"
"50011359","AKI SUSHI","Manhattan","1531","YORK AVE","10028","9177709928","Japanese","2018-10-23T00:00:00.000","Violations were cited in the following area(s).","04N","Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","Critical","25",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.772720220297","-73.949775550806","108","05","013600","1050371","1015600028","MN32"
